what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748371152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748377693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748381268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748383195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748388969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748406545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748407833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748426099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748428349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748432777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748449745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748473808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748484176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748506727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748511320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748524710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748525565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748558012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748563871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748574406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748576053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748585411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748586950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748593985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748603912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748609909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748611863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748627402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748628906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748642499
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1478748664561
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1478748665906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748666235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748667749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748669581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748673462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748692103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748696998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748757618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748757699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748758845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748761239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748766082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748825921
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1478748829729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748830062
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1478748831239
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1478748831244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748831637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748833377
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1478748835120
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1478748837904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748850014
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1478748850034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1478748850808
error,log,,,"No Byte Stream Services found for Nios II Console View",1478748851409
